id,counter,RSSI,SNR
2,2000,-49,9.50
2,2000,-49,9.50
2,2001,-51,9.75
2,2002,-52,9.25
2,2003,-50,9.75
2,2004,-51,9.75
2,2005,-51,9.25
2,2006,-50,9.75
2,2007,-51,9.50
2,2008,-51,9.50
2,2009,-51,9.25
2,2010,-52,9.50
2,2011,-52,9.25
2,2012,-51,9.50
2,2013,-52,9.25
2,2014,-53,9.25
2,2015,-52,9.25
2,2016,-52,9.50
2,2017,-52,9.25
2,2018,-54,9.75
2,2019,-54,9.75
2,2020,-54,9.00
2,2021,-54,9.50
2,2022,-53,9.00
2,2023,-54,9.25
2,2024,-49,9.00
2,2025,-51,9.50
2,2026,-51,10.00
2,2027,-49,9.25
2,2027,-49,9.25
2,2028,-49,9.25
2,2029,-48,9.00
2,2030,-48,9.25
2,2031,-49,9.50
2,2032,-51,9.25
2,2032,-51,9.25
2,2033,-53,9.25
2,2034,-55,9.25
2,2035,-56,9.25
2,2036,-58,9.25
2,2037,-55,9.50
2,2038,-53,8.75
2,2039,-58,9.00
2,2040,-62,9.25
2,2041,-53,9.50
2,2042,-63,9.25
2,2043,-63,9.25
2,2044,-56,9.75
2,2045,-63,9.25
2,2046,-79,9.50
2,2047,-61,9.25
2,2048,-59,9.50
2,2049,-51,5.00
2,2050,-56,9.75
2,2051,-55,9.50
2,2052,-54,9.50
2,2053,-55,9.00
2,2054,-54,9.50
2,2055,-55,9.00
2,2056,-57,9.75
2,2057,-57,9.50
2,2058,-55,10.00
2,2059,-56,9.50
2,2060,-56,9.25
2,2061,-57,9.50
2,2062,-58,9.00
2,2063,-53,9.00
2,2064,-58,9.25
2,2065,-60,9.25
2,2000,-61,9.25
2,2001,-58,9.25
2,2001,-58,9.25
2,2002,-56,9.50
2,2003,-52,9.50
2,2004,-58,9.00
2,2005,-53,8.75
2,2006,-54,9.25
2,2006,-54,9.25
2,2007,-49,9.50
2,2008,-53,9.00
2,2009,-52,9.50
2,2010,-51,9.25
2,2011,-49,9.50
2,2012,-63,9.00
2,2013,-50,9.00
2,2014,-49,9.50
2,2015,-48,9.00
2,2016,-53,9.00
2,2017,-46,9.50
2,2018,-46,9.50
2,2019,-48,9.25
2,2020,-49,9.25
2,2021,-46,9.00
2,2022,-52,9.50
2,2023,-51,9.25
2,2024,-49,9.50
2,2025,-48,9.00
2,2026,-49,9.25
2,2027,-51,9.50
2,2028,-49,9.00
2,2029,-50,9.25
2,2030,-51,9.75
2,2031,-49,9.00
2,2032,-54,9.00
2,2033,-54,8.75
2,2034,-51,9.50
2,2035,-47,9.00
2,2036,-56,9.50
2,2037,-54,9.25
2,2038,-58,9.25
2,2039,-62,9.25
2,2040,-56,9.50
2,2041,-62,9.00
2,2042,-67,9.25
2,2043,-65,9.25
2,2044,-67,11.50
2,2045,-69,9.25
2,2046,-64,9.25
2,2047,-60,10.00
2,2048,-60,11.50
2,2049,-62,8.75
2,2050,-64,9.50
